AC_No,AC_Name,BJP_Votes_2021,Total_Electors_2021,TMC_Votes_2021,BJP_Vote_Share_2021,TMC_Vote_Share_2021,Total_Electors_2026,District,Muslim_Base_Score,Matua_Base_Score
1,Mekliganj,84653.0,226465.0,99338.0,0.3738016912105623,0.4386461484114543,224413,COOCHBEHAR,0.5,0.5
2,Mathabhanga,113249.0,248022.0,87115.0,0.4566086879389731,0.3512390029916701,248757,COOCHBEHAR,0.5,0.5
3,COOCHBEHAR UTTAR,120483.0,282988.0,105868.0,0.4257530354644013,0.3741077360170749,263078,COOCHBEHAR,0.5,0.5
4,Coochbehar Dakshin,91560.0,233839.0,86629.0,0.3915514520674481,0.3704642938089882,213968,COOCHBEHAR,0.5,0.5
5,Sitalkuchi,124955.0,285260.0,107140.0,0.4380389819813503,0.3755871836219589,285548,COOCHBEHAR,0.5,0.5
6,Sitai,107796.0,290568.0,117908.0,0.3709837284215743,0.405784532364197,273126,COOCHBEHAR,0.5,0.5
7,Dinhata,116035.0,299251.0,115978.0,0.3877514193770447,0.3875609438230782,277291,COOCHBEHAR,0.5,0.5
8,Natabari,111743.0,245040.0,88303.0,0.4560194253999347,0.3603615736206333,239923,COOCHBEHAR,0.5,0.5
9,Tufanganj,114503.0,234311.0,83305.0,0.4886795754360657,0.3555317505366799,237667,COOCHBEHAR,0.5,0.5
10,Kumargram,111974.0,272924.0,100973.0,0.4102753880201081,0.3699674634696838,259496,ALIPURDUAR,0.5,0.5
11,Kalchini,103104.0,247425.0,74528.0,0.4167080933616247,0.3012145094473072,221457,ALIPURDUAR,0.5,0.5
12,Alipurduars,107333.0,260652.0,91326.0,0.4117865966883047,0.3503752129275816,244331,ALIPURDUAR,0.5,0.5
13,Falakata,102993.0,254554.0,99003.0,0.4046017740832986,0.3889273002977757,245264,ALIPURDUAR,0.5,0.5
14,Madarihat,90718.0,212651.0,61033.0,0.426605094732684,0.2870101715957132,193958,ALIPURDUAR,0.5,0.5
15,Dhupguri,104688.0,263118.0,100333.0,0.3978747178072195,0.3813232085984235,258127,JALPAIGURI,0.5,0.5
16,Maynaguri,115306.0,264265.0,103395.0,0.4363271715891245,0.391254990255993,258545,JALPAIGURI,0.5,0.5
17,Jalpaiguri,94727.0,262500.0,95668.0,0.3608647619047619,0.3644495238095238,250381,JALPAIGURI,0.5,0.5
18,Rajganj,88868.0,244163.0,104641.0,0.3639699708801088,0.4285702583929588,230795,JALPAIGURI,0.5,0.5
19,Dabgram-Fulbari,129088.0,310354.0,101495.0,0.4159379289456556,0.3270297788976459,264380,JALPAIGURI,0.5,0.5
20,Mal,93621.0,255570.0,99086.0,0.3663223383026177,0.3877059122745236,237452,JALPAIGURI,0.5,0.5
21,Nagrakata,94722.0,237305.0,71247.0,0.3991572027559469,0.3002338762352247,220118,JALPAIGURI,0.5,0.5
